source_league_id,dest_league_id,source_league,dest_league,source_country_id,dest_country_id,source_tier,dest_tier,n_transfers,n_loans,fee_sum,fee_median,domestic_share
2DVB,GEO2,2. Division B,Erovnuli Liga 2,141.0,53.0,4,2,1,0,0.0,,0.0
2DVB,ISR2,2. Division B,Liga Leumit,141.0,74.0,4,2,1,0,0.0,,0.0
2DVB,KG1L,2. Division B,Jogorku Liga,141.0,90.0,4,1,4,0,0.0,,0.0
2DVB,MOP2,2. Division B,Super Liga (Phase 2),141.0,112.0,4,1,1,1,0.0,,0.0
2DVB,R3D1,2. Division B,2. Division A (Phase 1),141.0,141.0,4,3,33,12,0.0,,1.0
2DVB,R3D2,2. Division B,2. Division A (Phase 2),141.0,141.0,4,3,78,18,35000.0,17500.0,1.0
2DVB,RETIREMENT,2. Division B,RETIREMENT,141.0,,4,,20,0,0.0,,0.0
2DVB,RJL2,2. Division B,U19 M-Liga (seit 2024),141.0,141.0,4,Youth,3,3,0.0,,1.0
2DVB,RJP1,2. Division B,U19 M-Liga Play-off,141.0,141.0,4,PlayoffRelegation,1,1,0.0,,1.0
2DVB,RPLS,2. Division B,Zweite Liga Division B Gruppe 1 (-2023),141.0,141.0,4,3,1,0,0.0,,1.0
2DVB,RPLW,2. Division B,Zweite Liga Division B Gruppe 2 (-2023),141.0,141.0,4,3,2,0,0.0,,1.0
2DVB,RPLZ,2. Division B,Zweite Liga Division B Gruppe 3 (-2023),141.0,141.0,4,3,1,0,0.0,,1.0
2DVB,RU1,2. Division B,Premier Liga,141.0,141.0,4,1,25,13,1142000.0,85000.0,1.0
2DVB,RU2,2. Division B,1.Division,141.0,141.0,4,2,63,34,492000.0,55000.0,1.0
2DVB,SL1,2. Division B,Prva Liga,141.0,155.0,4,1,1,1,0.0,,0.0
2DVB,TAD1,2. Division B,Vysshaya Liga,141.0,165.0,4,1,1,0,0.0,,0.0
2DVB,UNKNOWN_CLUB,2. Division B,UNKNOWN_CLUB,141.0,,4,,3,0,0.0,,0.0
2DVB,UZ1,2. Division B,O'zbekiston Superligasi,141.0,180.0,4,1,1,0,0.0,,0.0
2DVB,WER1,2. Division B,Vysheyshaya Liga,141.0,18.0,4,1,5,0,0.0,,0.0
2DVB,WER2,2. Division B,Pershaya Liga,141.0,18.0,4,2,2,0,0.0,,0.0
2DVB,WITHOUT_CLUB,2. Division B,WITHOUT_CLUB,141.0,,4,,138,0,0.0,,0.0
3PTP,CPSC,Liga 3 - Finale,Campeonato de Portugal - Série C,136.0,136.0,PlayoffRelegation,4,1,0,0.0,,1.0
3PTP,IN1L,Liga 3 - Finale,Super League,136.0,68.0,PlayoffRelegation,1,1,0,0.0,,0.0
3PTP,LIB1,Liga 3 - Finale,Lebanese Premier League,136.0,94.0,PlayoffRelegation,1,1,0,0.0,,0.0
3PTP,MAL1,Liga 3 - Finale,Premier League (-2024),136.0,106.0,PlayoffRelegation,1,1,0,0.0,,0.0
3PTP,PO2,Liga 3 - Finale,Liga Portugal 2,136.0,136.0,PlayoffRelegation,2,6,2,0.0,,1.0
3PTP,PT23,Liga 3 - Finale,Liga Revelação U23,136.0,136.0,PlayoffRelegation,Youth,1,0,0.0,,1.0
3PTP,PT3A,Liga 3 - Finale,Liga 3,136.0,136.0,PlayoffRelegation,3,11,0,0.0,,1.0
3PTP,RO1,Liga 3 - Finale,SuperLiga,136.0,140.0,PlayoffRelegation,1,1,0,0.0,,0.0
3PTP,RU2,Liga 3 - Finale,1.Division,136.0,141.0,PlayoffRelegation,2,1,0,0.0,,0.0
3PTP,WITHOUT_CLUB,Liga 3 - Finale,WITHOUT_CLUB,136.0,,PlayoffRelegation,,3,0,0.0,,0.0
