competition_id,league_name,country_id,tier,source_url,canonical_competition_id,prior_league_names
E21P,Premier League 2 Playoffs,189.0,PlayoffRelegation,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/E21P,,

E3G1,Primera Federación - Grupo I,157.0,3,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/E3G1,,

E3G2,Primera Federación - Grupo II,157.0,3,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/E3G2,,

E4G1,Segunda Federación - Grupo I,157.0,4,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/E4G1,,

E4G2,Segunda Federación - Grupo II,157.0,4,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/E4G2,,

E4G3,Segunda Federación - Grupo III,157.0,4,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/E4G3,,

E4G4,Segunda Federación - Grupo IV,157.0,4,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/E4G4,,

E4G5,Segunda Federación - Grupo V,157.0,4,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/E4G5,,

EC1N,LigaPro Serie A,44.0,1,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/EC1N,,

EC2L,Liga Pro Serie B,44.0,2,https://www.transfermarkt.de/jumplist/startseite/wettbewerb/EC2L,,
