league_id,league_name,country_id,tier,prior_league_names
FIJ1,Fiji Premier League,48,1,
GB18,U18 Premier League,189,Youth,
HBZA,Vierde Divisie B Samstag,122,5,
IJ1,Primavera 1,75,Youth,
IJ2A,Primavera 2 - A,75,Youth,
IJ2B,Primavera 2 - B,75,Youth,
ILI2,Championship,68,2,
IND1,Indian Super League,67,1,National Football League ('96-'07)
J6K2,Kanto Soccer League (Div.2),77,6,
LLSL,Landesliga Schleswig,40,6,
NIR3,Intermediate League,192,3,
NO44,Norsk Tipping-Ligaen avdeling 4,125,4,
PL32,Betclic 3 Liga - Gruppe II,135,4,
TFPL,Taiwan Football Premier League,164,1,
ARG3,Torneo Federal A,9,3,
BO1A,División Profesional,23,1,
C3BF,Championnat National 3 - Groupe J,50,5,
C3GE,Championnat National 3 - Groupe I,50,5,
CSSF,Campionato Sammarinese Seconda Fase,144,1,
DO1P,Liga Dominicana de Fútbol - Liguilla,43,1,
EC1N,LigaPro Serie A,44,1,
F19A,Championnat National U19 - Groupe A,50,Youth,
FAR2,1. deild,208,2,
FI4L,Kolmonen Itäinen,49,5,
HBZO,Vierde Divisie B Sonntag,122,5,
ISL3,2. deild,73,3,
KG1L,Jogorku Liga,90,1,
LLHO,Landesliga Holstein,40,6,
NIR2,Championship,192,2,
NO46,Norsk Tipping-Ligaen avdeling 6,125,4,
PT23,Liga Revelação U23,136,Youth,
T191,U19 Süper Lig,174,Youth,
T211,U21 Süper Lig,174,Youth,
USC3,USL League One,184,3,
VFVA,2de Nationale VV A,19,4,
VFVB,2de Nationale VV B,19,4,
A2SW,National Premier League - New South Wales,12,2,
ALB2,Kategoria e Parë,3,2,
BRA3,Campeonato Brasileiro Série C,26,3,
CA1F,Canadian Premier League Fall Season,80,1,
CDN1,Canadian Premier League,80,1,
COLP,Liga DIMAYOR Apertura,83,1,
EL1A,LigaPro Serie A Primera Etapa,44,1,
ELSA,Regionalliga Salzburg (- 2023),127,3,
ELTI,Regionalliga Tirol (- 2023),127,3,
F19B,Championnat National U19 - Groupe B,50,Youth,
F19C,Championnat National U19 - Groupe C,50,Youth,
F19D,Championnat National U19 - Groupe D,50,Youth,
GRS2,Super League 2,56,2,
ITJ7,Campionato Under 18,75,Youth,
K4L,K4 League,87,4,
KAS2,Pervaya Liga,81,2,
KHM1,Cambodian Premier League,79,1,
KOG1,Kolmonen Etelä Gruppe A,49,5,
KTOS,Kanto Soccer League (Div.1),77,5,
NIS3,NISA Fall Season (- 2021),184,3,NISA; NISA Fall Season (- 2021)
NISR,NISA Spring Season (- 2021),184,3,
NNL1,National League - North,120,1,
QU2L,Qatari Second Division,137,2,
RU17,Russian U17 Youth Football League,141,Youth,
SK2P,II. Liga Promotion,154,PlayoffRelegation,
VZ1L,Liga FUTVE,182,1,
WAL2,Cymru North,191,2,
181F,U18 Divisie 1 Herbst,122,Youth,
211F,U21 Divisie 1 Herbst,122,Youth,
